Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
11/06/2023 18:32;Cinetariz;43539771;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"Akhirnya nonton lagi 'The Little Mermaid' setelah diajakin temen & masih ngerasain sensasi yg sama seperti pertama kali: bahagia!

Selain terhibur dengan guyonan & petualangannya yg asyik, suara merdu Halle Bailey selalu berhasil membuatku merinding & menitikkan air mata. Magis! https://t.co/XJdYrw15KC";;;22;1,67E+18
10/06/2023 10:58;txtdaricinecrib;2457563216;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Ini adalah foto latihan Halle Bailey waktu mau main film Avenge... eh bukan, bukan Avengers, tapi The Little Mermaid.

'Ribet amat maen pelem cuma nyanyi-nyanyi aja sampe latihan beban segala?!'

Katanya sih latihan bebannya itu buat adegan di twit selanjutnya gaes, bisa tebak?… https://t.co/Rg2w8Vb86K https://t.co/hQtSivuTXD";;;19;1,67E+18
18/06/2023 16:55;?????;1,26E+18;bitchwithaura;1,58E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@bitchwithaura @ignoraancme @amelicanoooo_ @moviemenfes Semua balik lagi ke kualitas aktingnya lah. Ga inget tuh kenapa halle bailey dipilih? Ya karena pure dari akting dan vokalnya dia. Terlepas dari segala kontroversinya.;;;0;1,67E+18
18/06/2023 14:01;ping;1,39E+18;Aiyuen2;1,12E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@Aiyuen2 @moviemenfes Dan kebetulan saya adalah satu dari sedikit orang yang kontra kalau Ariel diperankan oleh Halle Bailey, tanpa menurunkan respect...;;;0;1,67E+18
18/06/2023 13:56;bian;1,59E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @47sjy: @chuka__wakame @jobjobian @fidwinaxx @cosmocheis @moviemenfes it’s open to anyone but it would've been better if the cast IS pol…;;;1;1,67E+18
18/06/2023 13:49;?? ?? ?;1,40E+18;chuka__wakame;1,65E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"@chuka__wakame @jobjobian @fidwinaxx @cosmocheis @moviemenfes it’s open to anyone but it would've been better if the cast IS polynesian. gue takutnya orang luar pada ngehate actressnya kalo bukan polynesian, terus kenanya malah indo.

u gamau kan dia kena lashings kaya halle bailey yang meranin ariel?";;;1;1,67E+18
18/06/2023 11:12;ariel ? unlabelled acc;1,65E+18;thisyourkala;1,33E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@thisyourkala @earlgreypie_ @tanyakanrl banyak yang komplain btw ??? dulu pas pertama kali diumumkan tahun 2017, beuhh twitter isinya hate comment rasis sana sini, 11 12 sama halle bailey https://t.co/eyGX7Bxck7;;;0;1,67E+18
18/06/2023 08:47;?elodylika ?;1,58E+18;moviemenfes;1565895180;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@moviemenfes Kalo dia kepilih, saran gue banyak berdoa aja semoga ga dihujat orang luar, liat kasus Halle Bailey yang dipilih Rob Marshall jadi Ariel yang sampe di rasisin banyak orang.;;;0;1,67E+18
17/06/2023 23:32;jhony;1,67E+18;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @andihiyat: Dan Halle Bailey emang pantas memerankan diri sebagai Ariel, no debat. Pas scene nyanyi lagu 'Part of Your World' It's so Be…;;;32;1,67E+18
17/06/2023 23:28;Akram Naji;1,21E+18;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @Adriandhy: #THELITTLEMERMAID membuktikan kenapa orang yang mempermasalahkan Halle Bailey jadi Ariel pekerjaannya bukan casting director…;;;649;1,67E+18
17/06/2023 23:02;fatima;1,67E+18;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @andihiyat: Dan Halle Bailey emang pantas memerankan diri sebagai Ariel, no debat. Pas scene nyanyi lagu 'Part of Your World' It's so Be…;;;32;1,67E+18
17/06/2023 22:51;Sarah Draw;8,29E+17;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @andihiyat: Dan Halle Bailey emang pantas memerankan diri sebagai Ariel, no debat. Pas scene nyanyi lagu 'Part of Your World' It's so Be…;;;32;1,67E+18
17/06/2023 22:50;Dini?;8,34E+17;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @andihiyat: Dan Halle Bailey emang pantas memerankan diri sebagai Ariel, no debat. Pas scene nyanyi lagu 'Part of Your World' It's so Be…;;;32;1,67E+18
